AppName,RelPath,File,TotalFunctionsWithDB,TotalQueries,TotalObjects,TotalExec,TotalWrite,TotalDynamic,DistinctObjectsUsed,HasDbAccess,HasCrossDb,DbList,TopObjectsRead,TopObjectsWrite,TopObjectsExec
golang-sample,go1/destination.go,destination.go,12,26,26,23,18,0,22,true,false,,control_table_resiko_pasar(read x1); mk006_a(read x1); OBOXGetPrevDate_v(read x1),MK006-A_flatfile(write x3); MK005-A_flatfile(write x2); confomk005_a(write x1); confomk006_a(write x1); MK002-A(write x1); MK002-A_detail(write x1); MK002-A_flatfile(write x1); MK002UN-A_flatfile(write x1); MK005-A(write x1); MK005-A_UpdateJumlah(write x1); +10 others,MK006-A_flatfile(exec x3); MK005-A_flatfile(exec x2); MK002-A(exec x1); MK002-A_detail(exec x1); MK002-A_flatfile(exec x1); MK002UN-A_flatfile(exec x1); MK005-A(exec x1); MK005-A_UpdateJumlah(exec x1); MK005UN-A_flatfile(exec x1); MK006-A(exec x1); +5 others
golang-sample,go1/query.go,query.go,17,17,17,10,0,5,7,true,true,SQL_REPLICATE,[P] <dynamic-object>(read x5); mk006_a(read x1); OBOXGetPrevDate_v(read x1),confomk005_a(write x2); confomk006_a(write x2); mk005_a(write x2); mk006_a(write x2); mk006_a_actuate(write x2),
golang-sample,go1/source.go,source.go,8,8,8,1,1,7,2,true,false,,[P] <dynamic-sql>(read x7),MKValidateData(write x1),MKValidateData(exec x1)
golang-sample,go2/impl.go,impl.go,6,7,7,0,0,0,7,true,false,,CFMAST(read x1); control_table(read x1); SIBSCurrencyTable_TM(read x1); valas_mapping_parameter(read x1); VLSRate_TM(read x1); VLSTransactions_TR(read x1); VLSTransactionsToday_TR(read x1),,
golang-sample,go2/query.go,query.go,4,5,5,0,0,0,5,true,false,,CFMAST(read x1); control_table(read x1); SIBSCurrencyTable_TM(read x1); VLSTransactions_TR(read x1); VLSTransactionsToday_TR(read x1),,
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,31,34,44,8,4,0,4,true,true,SQL_Employee,BancaNoAAUI_TM(read x14); BancaNoAAJI_TM(read x12); BancaMTranAAJIAAUI_TT(read x6); PSEmployee_v(read x4),BancaMTranAAJIAAUI_TT(write x8),BancaMTranAAJIAAUI_TT(exec x4)
golang-sample,go3/bancaQueries_manual.sql.go,bancaQueries_manual.sql.go,4,6,22,4,0,0,11,true,false,,[P] <dynamic-object>(read x2),ActionType(write x2); BancaControlTable_TM(write x2); BancaDelete_TT(write x2); BatchId(write x2); DateOtor(write x2); edData(write x2); Jenis(write x2); StatusOtor(write x2); UserInput(write x2); UserOtor(write x2),
golang-sample,go3/bond_transaction_repository.go,bond_transaction_repository.go,2,20,75,19,0,0,29,true,true,SQL_SIBS,[P] <dynamic-object>(read x16); SecurityReplaceTrxLelang_TT(read x3); SecurityTransactionStatus_TM(read x3); SecurityTrxLelang_TT(read x3); user_nisp_v(read x3); SecurityBatchResult_TR(read x2); SecurityMaster_TM(read x2); SecurityTransaction_TT(read x2); SecurityTrxResultLelang_TT(read x2); EACustomerFlagging_TM_v(read x1); +14 others,tmp(write x12); bl(write x4); [P] <dynamic-object>(write x3); a(write x2); blt(write x2); DATA(write x1),
golang-sample,go3/refundBillingQueries_manual.sql.go,refundBillingQueries_manual.sql.go,2,2,2,2,2,0,1,true,false,,,BA_SelectRefundBilling(write x2),BA_SelectRefundBilling(exec x2)
