AppName,RelPath,File,TotalFunctionsWithDB,TotalQueries,TotalObjects,TotalExec,TotalWrite,TotalDynamic,DistinctObjectsUsed,HasCrossDb,TopObjects
dotnet-sample,ANTSNAModel.cs,ANTSNAModel.cs,11,11,11,11,11,0,11,false,"ANTSNAGenerateFile (mixed), ANTSNAGetColumnParam (mixed), ANTSNAGetGeneralParam (mixed)"
dotnet-sample,ApprovalParamGLModel.cs,ApprovalParamGLModel.cs,2,2,2,2,2,0,2,false,"TRSApprovalParamGL (mixed), TRSPopulateApprovalParameterGL (mixed)"
dotnet-sample,ApprovalSIDModel.cs,ApprovalSIDModel.cs,4,4,4,4,4,0,4,false,"TRSApproveSID (mixed), TRSInsertLogOneNotifNTI (mixed), TRSNTIUpdateStatusNotif (mixed)"
dotnet-sample,clsAPIServiceInvestmentObligasi.cs,clsAPIServiceInvestmentObligasi.cs,2,3,0,0,0,3,0,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,10,16,0,0,0,16,0,false,
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,1,3,13,2,3,3,8,false,"eq (mixed), openxml (mixed), sp_xml_preparedocument (mixed)"
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,13,14,14,14,14,0,14,false,"SBNSchedCreateLiveLog (mixed), SBNSchedGetDataStatusPemesanan (mixed), SBNSchedGetGeneralParam (mixed)"
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,45,46,44,44,44,2,41,false,"TRSObliGetNotifAPIParam (mixed), TRSRetailCalculateFee (mixed), MXINTFCPYInLog (mixed)"
dotnet-sample,clsDatabase.cs,clsDatabase.cs,200,204,204,204,204,0,196,false,"trs_ListColumnsTable (mixed), TRSProcessInsertSecurityTransactionCommit (mixed), TRSPopulateBlokirSwitchingTransaction (mixed)"
dotnet-sample,clsValasService.cs,clsValasService.cs,11,90,132,34,72,32,13,false,"openxml (mixed), sp_xml_preparedocument (mixed), VLSResultFinal_TH (read)"
dotnet-sample,frmObligasiUpdateStatusTRX.cs,frmObligasiUpdateStatusTRX.cs,11,26,26,26,26,4,9,false,"trs_UpdateStatusSecurityTransactionAfterMurex (mixed), TRSGetEmailForPushBack (mixed), TRSGetEmailLookUp (mixed)"
